Second,Kamera,Lidar,Odometry,Sonstige,Kamera Data Size,Lidar Data Size,Odometry Data Size,Sonstige Data Size
9900,0,23,60,2,0,423887,18520,236
9910,0,32,98,0,0,7863675,45519,0
9920,1,20,60,0,361,398476,18520,0
9930,3,21,98,0,13824473,374021,45519,0
9940,0,26,60,0,0,547754,18520,0
9950,0,23,98,2,0,423759,45519,232
9960,0,28,78,2,0,14031034,31300,240
9970,0,25,80,0,0,1472337,32739,0
9980,2,26,79,0,6912419,498270,32010,0
9990,2,21,79,0,6912415,423377,32029,0
10000,0,22,79,2,0,6665697,32010,236
