Timestamp,Total CPU Load,Total Used Memory,Core CPU,Core Memory,Ameise CPU,Ameise Memory,Radar CPU,Radar Memory
1737224138.534309,89.8,566.24,64.9,474.45,21.9,58.47,3.0,33.32
1737224140.5486395,87.8,570.93,63.8,473.16,21.0,64.45,3.0,33.32
1737224142.5602012,86.9,557.33,65.9,471.87,20.0,52.14,1.0,33.32
1737224144.575944,95.0,567.95,69.0,470.03,24.0,64.6,2.0,33.32
1737224146.5900192,87.9,578.84,64.9,481.63,20.0,63.89,3.0,33.32
1737224148.6100373,93.8,566.67,67.9,474.93,22.9,58.42,3.0,33.32
1737224150.6230571,92.7,567.84,68.8,470.03,22.9,64.49,1.0,33.32
1737224152.638107,94.5,562.12,70.6,470.29,22.9,58.51,1.0,33.32
1737224154.647827,95.7,561.34,69.8,470.19,21.9,57.83,4.0,33.32
1737224156.6613405,90.9,574.17,67.9,476.96,20.0,63.89,3.0,33.32
1737224158.673308,94.9,574.21,70.9,482.37,21.0,58.52,3.0,33.32
1737224160.6838841,83.9,567.98,60.9,476.96,20.0,57.83,3.0,33.19
1737224162.6944325,86.9,569.02,63.9,476.96,20.0,58.68,3.0,33.38
1737224164.7083676,68.9,568.27,47.9,482.89,18.0,52.0,3.0,33.38
1737224166.7181184,91.9,568.98,61.9,477.08,20.0,58.59,10.0,33.31
1737224168.7313275,90.9,580.24,64.9,488.42,24.0,58.51,2.0,33.31
1737224170.7523842,60.0,573.34,49.0,482.23,10.0,57.87,1.0,33.24
1737224172.7630498,46.0,579.02,35.0,481.72,8.0,64.06,3.0,33.24
1737224174.7762918,74.9,579.81,56.9,481.98,16.0,64.59,2.0,33.24
1737224176.78955,53.0,573.61,42.0,481.72,8.0,58.65,3.0,33.24
1737224178.7997038,75.9,568.35,56.9,477.08,17.0,58.03,2.0,33.24
1737224180.8799474,76.9,574.91,58.9,477.08,16.0,64.59,2.0,33.24
1737224182.8956594,83.8,568.34,62.9,477.11,18.9,57.99,2.0,33.24
1737224184.9115164,92.8,568.86,69.8,477.11,21.0,58.51,2.0,33.24
1737224186.924485,59.8,568.86,43.8,477.11,14.0,58.51,2.0,33.24
1737224188.9346287,48.0,568.94,40.0,477.11,7.0,58.66,1.0,33.17
1737224190.9516199,58.9,568.87,46.9,477.11,10.0,58.59,2.0,33.17
1737224192.9632113,47.9,579.05,38.9,482.01,7.0,63.83,2.0,33.21
1737224194.9751334,87.8,568.9,62.9,477.15,20.9,58.54,4.0,33.21
1737224196.9858358,44.0,569.14,34.0,477.15,8.0,58.59,2.0,33.4
1737224198.9950843,89.9,569.31,65.9,477.15,21.0,58.76,3.0,33.4
1737224201.0113685,94.9,562.55,68.9,477.15,23.0,52.0,3.0,33.4
1737224203.0256724,91.9,562.94,64.9,477.15,23.0,52.39,4.0,33.4
1737224205.0354528,89.9,575.03,65.9,477.15,22.0,64.48,2.0,33.4
1737224207.0473497,95.9,562.81,68.9,477.22,24.0,52.19,3.0,33.4
1737224209.0577292,86.9,569.18,64.9,477.22,19.0,58.56,3.0,33.4
1737224211.0719788,97.7,569.05,68.9,477.22,25.8,58.43,3.0,33.4
1737224213.0842261,96.9,569.2,69.9,477.22,24.0,58.58,3.0,33.4
1737224215.1016977,93.9,568.5,69.9,483.14,23.0,51.96,1.0,33.4
