Timestamp,Messages per second
1737219111.4425874,0
1737219112.442429,0
1737219113.4428387,0
1737219114.442786,0
1737219115.4426427,0
1737219116.4427774,0
1737219117.4425302,0
1737219118.442813,0
1737219119.4426658,0
1737219120.4427657,0
1737219121.4426925,0
1737219122.4428942,0
1737219123.4418526,0
1737219124.4428742,0
1737219125.442732,0
1737219126.4427106,0
1737219127.4423397,0
1737219128.4428318,0
1737219129.442612,0
1737219130.4436364,0
1737219131.4417775,0
1737219132.442778,0
1737219133.4421852,0
1737219134.4432447,0
1737219135.4441762,0
1737219136.442545,0
1737219137.4427783,0
1737219138.4428017,0
1737219139.442856,0
1737219140.4431698,0
1737219141.4428947,0
1737219142.4429681,0
1737219143.442704,0
1737219144.4427965,0
1737219145.4430375,0
1737219146.442503,0
1737219147.442451,0
1737219148.4425788,0
1737219149.4426725,0
1737219150.4448144,0
1737219151.4422836,0
1737219152.4422188,0
1737219153.4423394,0
1737219154.4424672,0
1737219155.4442365,0
1737219156.4420276,0
1737219157.4423544,0
1737219158.4427087,0
1737219159.442393,0
1737219160.4437294,0
1737219161.4422657,0
1737219162.4419026,0
1737219163.442576,0
1737219164.4426928,0
1737219165.443403,0
1737219166.4427128,0
1737219167.4424498,0
1737219168.4426649,0
1737219169.4427428,0
1737219170.4428074,0
1737219171.4423249,0
1737219172.4425242,0
1737219173.4424453,0
1737219174.44241,0
1737219175.4432378,0
1737219176.4445293,0
1737219177.441762,0
1737219178.4425504,0
1737219179.4416926,0
1737219180.4508362,0
1737219181.4428694,0
1737219182.4425015,0
1737219183.4423559,0
1737219184.4425468,0
1737219185.4439218,0
1737219186.4426138,0
1737219187.4403827,0
1737219188.443896,0
1737219189.4421508,0
1737219190.4443007,0
1737219191.4419081,0
1737219192.4424477,0
1737219193.4425266,0
1737219194.441715,0
1737219195.4695992,0
1737219196.4417326,0
1737219197.4428554,0
1737219198.4419444,0
1737219199.441869,0
1737219200.4444778,0
1737219201.4427006,0
1737219202.442778,0
1737219203.4428651,0
1737219204.4426484,0
1737219205.4437633,0
1737219206.442706,0
1737219207.443156,0
1737219208.4424999,0
1737219209.4423873,0
1737219210.4509976,0
1737219211.442408,0
1737219212.4425871,0
1737219213.4424272,0
1737219214.4426918,0
1737219215.4434505,0
1737219216.4423032,0
1737219217.443464,0
1737219218.4424722,0
1737219219.4429896,0
1737219220.4416363,0
1737219221.4424763,0
1737219222.4430635,0
1737219223.4428399,0
1737219224.4416718,0
1737219225.4433856,0
1737219226.4424555,0
1737219227.4425592,0
1737219228.4430747,0
1737219229.4425046,0
1737219230.4437776,0
1737219231.4430566,0
1737219232.4420557,0
1737219233.4427204,0
1737219234.4430702,0
1737219235.4450734,0
1737219236.4419394,0
1737219237.4424665,0
1737219238.4425175,0
1737219239.4426095,0
1737219240.4440396,0
1737219241.4425068,0
1737219242.4422264,0
